0,1,2,3,4,5,6,7,8
,,,,Plan asset,,,,Plan asset
,,Fair value,,allocation %,,Fair value,,allocation %
,Quoted,,,,Quoted,,,
,in an active,,,,in an active,,,
USD m,market,Other,Total,,market,Other,Total,
Cash and cash equivalents,911,0,911,2,"1,205",0,"1,205",2
Equity securities,,,,,,,,
Domestic,0,0,0,0,0,24,24,0
Foreign,0,"1,425","1,425",3,0,"2,132","2,132",4
Bonds,,,,,,,,
"Domestic, AAA to BBB–",156,0,156,0,100,0,100,0
"Foreign, AAA to BBB–",0,0,0,0,51,0,51,0
Real estate / property,,,,,,,,
Domestic,0,"5,967","5,967",11,0,"6,195","6,195",11
Foreign,0,"1,086","1,086",2,0,"1,017","1,017",2
Investment funds,,,,,,,,
Equity,,,,,,,,
Domestic,"1,300",0,"1,300",2,"1,376",0,"1,376",3
Foreign,"8,520","2,072","10,592",20,"8,317","2,196","10,513",19
Bonds1,,,,,,,,
"Domestic, AAA to BBB–","6,921",0,"6,921",13,"7,952",0,"7,952",15
"Domestic, below BBB–",9,0,9,0,1,0,1,0
"Foreign, AAA to BBB–","12,886",0,"12,886",25,"13,497",0,"13,497",25
"Foreign, below BBB–","1,393",0,"1,393",3,"1,249",0,"1,249",2
Real estate,,,,,,,,
Domestic,"1,938",0,"1,938",4,"1,906",0,"1,906",4
Foreign,451,117,568,1,537,79,616,1
Other,"1,396","3,383","4,780",9,"1,960","3,373","5,333",10
Other investments,475,"1,833","2,308",4,667,569,"1,236",2
Total fair value of plan assets,"36,357","15,884","52,241",100,"38,817","15,586","54,404",100
,,,31.12.24,,,,31.12.23,
Total fair value of plan assets,,,"52,241",,,,"54,404",
"o
f
 
which: Investments in UBS instruments2",,,,,,,,
